entrez_id,symbol,Annotated_drug_processing,Disease_gene_Menche,Disease_gene_New,Drug_target,neighbors,nb_disease_genes_2015,nb_disease_gene_New,nb_drug_target,Palliative_target,zscore,Transcription_factor
169981,SPIN3,No,No,No,No,5,0,0,1,No,-0.035695528,No
6247,RS1,No,Yes,No,No,6,1,5,2,No,0.512211067,No
8811,GALR2,No,No,No,No,2,0,0,1,No,0.881815956,No
162993,ZNF846,No,No,No,No,2,0,0,0,No,-0.732073624,Yes
26664,OR7C1,No,No,No,No,1,0,0,0,No,-0.520170265,No
27255,CNTN6,No,No,No,No,1,1,0,0,No,-0.520170265,No
1120,CHKB,No,No,Yes,Yes,1,0,0,1,Yes,1.922447449,No
284837,AATBC,No,No,No,No,5,1,2,0,No,-1.008786655,No
84765,ZNF577,No,No,No,No,1,0,0,0,No,-0.520170265,Yes
79679,VTCN1,No,No,No,No,3,0,0,1,No,0.459777032,No
1358,CPA2,No,No,Yes,No,7,2,1,2,No,0.389515401,No
9121,SLC16A5,No,No,No,Yes,5,3,3,0,No,-1.008786655,No
100033424,SNORD116-12,No,No,No,No,1,0,0,0,No,-0.520170265,No
100996279,LINC00269,No,No,No,No,1,0,0,1,No,1.922447449,No
2689,GH2,No,No,No,No,2,0,0,1,No,0.881815956,No
79573,TTC13,No,No,No,No,1,1,1,0,No,-0.520170265,No
100310785,ALL1,No,No,No,No,1,0,0,0,No,-0.520170265,No
4146,MATN1,No,No,No,No,6,2,2,0,No,-1.127939856,No
5205,ATP8B1,Yes,Yes,Yes,No,2,0,0,0,No,-0.732073624,Yes
56253,CRTAM,No,No,No,No,3,1,1,1,No,0.459777032,No
100132403,FAM157B,No,No,No,No,1,0,0,1,No,1.922447449,No
84684,INSM2,No,No,No,No,2,1,1,0,No,-0.732073624,Yes
131540,ZDHHC19,No,No,No,No,1,0,0,0,No,-0.520170265,Yes
2864,FFAR1,No,No,No,Yes,3,0,1,1,No,0.459777032,No
401507,FAM74A1,No,No,No,No,2,0,0,0,No,-0.732073624,No
220296,HEPACAM,No,No,No,No,1,0,0,0,No,-0.520170265,No
220869,CBWD5,No,No,No,No,3,0,0,0,No,-0.810083342,No
283461,C12orf40,No,No,No,No,5,0,1,0,No,-1.008786655,No
81491,GPR63,No,No,No,No,2,0,1,1,No,0.881815956,No
7079,TIMP4,No,No,No,No,5,1,2,4,No,2.883577855,No
219409,GSX1,No,No,No,No,3,2,2,0,No,-0.810083342,Yes
114038,LINC00313,No,No,No,No,2,0,0,0,No,-0.732073624,No
54989,ZNF770,No,No,No,No,11,0,3,1,No,-0.809650561,Yes
100131211,NEMP2,No,No,No,No,1,0,0,1,No,1.922447449,No
9651,PLCH2,No,Yes,Yes,No,3,2,3,1,No,0.459777032,No
80862,ZNRD1ASP,No,Yes,Yes,No,3,0,0,1,No,0.459777032,No
140453,MUC17,No,No,No,No,1,1,1,0,No,-0.520170265,No
353322,ANKRD37,No,No,No,No,3,0,0,1,No,0.459777032,No
100507203,SMLR1,No,No,No,No,1,1,1,0,No,-0.520170265,No
285051,STPG4,No,No,No,No,1,0,1,0,No,-0.520170265,No
127003,C1orf194,No,No,No,No,1,1,1,0,No,-0.520170265,No
220729,LOC220729,No,No,No,No,1,0,0,0,No,-0.520170265,No
4490,MT1B,No,No,No,No,5,0,0,1,No,-0.035695528,No
