C0206180,-0.14473225,0.13399248,-0.00448086,-0.00764772,-0.07541482,0.06394061,-0.02279412,0.16622804,0.07047904,-0.07134020,0.14699200,-0.14109656,-0.01466269,0.05311586,-0.01634558,-0.07230363,0.04972984,0.08168758,-0.12463445,0.17913505,0.14421384,0.09258680,-0.08408829,-0.06948166,-0.03048278,-0.02493184,0.02463660,-0.11912217,-0.10896748,0.09094054,0.09812895,0.00522631
C0153685,-0.20907742,0.39546704,-0.08161512,0.05730790,-0.30272931,-0.10372435,0.17567825,0.02507892,-0.15347999,-0.14553805,0.19931969,0.09153351,0.00916141,0.05705336,-0.20330651,-0.02530100,0.00733601,-0.05602860,-0.24720311,0.35227033,0.04923793,-0.06405618,0.23522040,0.18710874,0.05826363,-0.07773357,0.12322760,0.02137133,-0.17569597,0.03254659,0.02643257,-0.07518898
C0153687,-0.15378268,0.30280817,-0.02408697,0.08600843,-0.29165855,0.00224193,0.07051894,-0.01216462,-0.21869037,-0.13561219,0.14252406,0.18697007,0.07261626,0.01734656,-0.09797828,0.05086874,0.05370659,-0.14302714,-0.19561368,0.30031219,0.04749079,-0.05689013,0.18870527,0.13853902,0.10969554,-0.12539537,0.05253191,0.07673138,-0.09398740,0.02175651,-0.00697067,-0.14030468
kidney diseases,-0.01897936,-0.13430920,-0.02679446,-0.04650867,0.04728379,-0.20191160,0.05966572,-0.09962280,-0.02807703,0.03733465,-0.09984053,-0.00422117,-0.18923056,0.03095734,-0.09257778,0.09147700,-0.02048770,0.17200400,0.02620896,-0.12968116,-0.05634679,-0.00648513,0.11440812,-0.02306638,-0.08795876,-0.01389557,0.18790226,0.06926157,-0.01600554,0.07157283,0.00214022,0.00589075
C0043515,-0.19341353,0.12385327,-0.03390854,0.07234466,-0.13143277,-0.18762331,0.03126919,0.01913648,-0.01286859,0.03199020,-0.01320541,0.06135727,-0.06526822,-0.08119347,-0.05014089,0.09004827,0.00656024,0.05135673,0.05390948,0.11707234,-0.00528443,-0.17403457,0.05491455,0.02699213,0.02326152,-0.09607780,0.22768614,-0.03921698,-0.11588689,-0.00529503,-0.03897502,-0.06305016
C0684249,-0.15608913,0.21335930,0.03041835,0.04628487,-0.21598741,-0.04930086,0.11870325,0.03401105,-0.14647678,-0.09575674,0.13403895,0.04857709,-0.01501496,0.01942768,-0.03777916,0.04315417,0.00457951,-0.00277411,-0.13852477,0.19973610,0.03684887,-0.03403049,0.15377051,0.07023585,0.02761690,-0.06826571,0.05677143,-0.01130134,-0.10652552,-0.02984563,0.03427103,-0.01595156
C0032962,-0.00904062,0.07515994,0.04327900,-0.02677676,-0.05560266,-0.06759784,-0.08036331,-0.08607944,-0.04894102,-0.06053771,0.02236566,0.08523910,0.01844844,0.03124061,-0.12943310,-0.04364582,-0.03943632,-0.04639757,0.02281549,0.07531939,-0.11349902,-0.06250925,0.03476795,0.03896885,0.06804171,-0.11269879,0.07648832,0.06280455,-0.01693878,0.02487320,0.02536833,-0.03911483
C0153446,-0.09690201,0.18804356,0.05324366,0.01902487,-0.18255946,-0.04572250,0.08451640,0.00942156,-0.20800321,-0.15441938,0.14667088,0.12771654,0.00959493,-0.02642016,-0.03079944,-0.01205857,-0.02321191,-0.07163736,-0.16347514,0.15395811,-0.01838309,-0.03971063,0.20053524,0.04579093,0.09616679,-0.05558908,0.00818324,0.02613902,-0.05555798,-0.05298096,0.05426472,-0.01638722
C1328504,-0.03501387,0.17873378,0.08101024,-0.03065799,-0.13387464,-0.04496209,-0.00604705,-0.04753170,-0.09159154,-0.11207774,0.08253460,0.06558683,0.03751528,0.04352479,-0.09796137,-0.04168855,-0.04184292,-0.05671231,-0.03970136,0.14355721,-0.06206233,-0.05872205,0.08469341,0.07574007,0.07878035,-0.10146978,0.04608275,0.02604031,-0.07121113,-0.00935700,0.05634463,0.00355552
C1135194,0.02053481,0.05894438,-0.00455294,0.12749839,0.02510500,-0.17122196,0.06140977,-0.16707198,-0.08572216,0.16425642,-0.17225125,0.18131511,-0.13315381,0.13019925,-0.12947728,0.03173644,-0.04527129,0.00645294,0.14379941,0.01015700,-0.12141132,0.03193480,0.00862744,0.17381050,0.05718481,-0.09734782,0.13669567,0.20081662,0.04280429,-0.02738125,0.04711803,0.06347135
